name,team,minutes_any,minutes_60,goals,assists,id_2026
Thomas Cannon,Sheffield Utd,15,7,1,1,NA
Todd Cantwell,Blackburn,37,27,3,7,NA
Theo Carroll,Preston,1,0,0,0,NA
Hayden Carter,Blackburn,16,16,0,1,NA
Eiran Cashin,Derby County,21,21,1,0,154
Žan Celar,QPR,19,10,2,0,NA
Ilias Chair,QPR,28,20,2,6,NA
Giorgi Chakvetadze,Watford,39,37,2,6,NA
Nathaniel Chalobah,Sheffield Weds,16,4,0,0,NA
Calum Chambers,Cardiff City,41,41,2,1,NA
Samuel Chambers,Leeds United,1,0,0,0,NA
Pierce Charles,Sheffield Weds,8,8,0,0,NA
Shea Charles,Sheffield Weds,43,42,1,5,NA
Tawanda Chirewa,Derby County,5,1,0,0,650
Tahith Chong,Luton Town,30,24,2,1,NA
Hamza Choudhury,Sheffield Utd,16,13,0,0,NA
Benjamin Chrisene,Norwich City,26,12,1,0,NA
Cyrus Christie,Swansea City,11,2,0,0,NA
Dennis Cirkin,Sunderland,36,30,3,2,535
Ibrahim Cissoko,Plymouth Argyle,13,9,3,1,NA
Ibrahim Cissoko,Sheffield Weds,5,0,0,0,NA
Jordan Clark,Luton Town,40,37,6,6,NA
Harry Clarke,Sheffield Utd,6,6,0,0,NA
Jack Clarke,Sunderland,2,2,1,1,NA
Matthew Clarke,Derby County,16,15,1,0,NA
Matthew Clarke,Middlesbrough,14,12,2,0,NA
Jake Clarke-Salter,QPR,11,8,0,0,NA
Josh Coburn,Middlesbrough,2,0,0,0,NA
Josh Coburn,Millwall,20,14,5,0,NA
Jack Colback,QPR,24,16,1,1,NA
Devante Cole,West Brom,14,0,0,0,NA
Bradley Collins,Coventry City,15,14,0,0,NA
James Collins,Derby County,17,1,0,0,NA
Jamilu Collins,Cardiff City,3,2,0,0,NA
Rubin Colwill,Cardiff City,43,24,1,4,NA
Aaron Connolly,Sunderland,10,2,1,0,NA
Aaron Connolly,Millwall,14,6,1,0,NA
Tommy Conway,Middlesbrough,36,27,13,1,NA
Steve Cook,QPR,31,31,2,0,NA
Jake Cooper,Millwall,36,36,3,1,NA
Michael Cooper,Sheffield Utd,43,43,0,0,NA
Oliver Cooper,Swansea City,28,10,1,1,NA
José Cordoba,Norwich City,34,24,1,0,NA
David Cornell,Preston,10,9,0,0,NA
Harry Cornick,Bristol City,3,0,1,0,NA
Lewie Coyle,Hull City,44,42,1,2,NA
Amario Cozier-Duberry,Blackburn,22,6,1,0,NA
Tristan Crama,Millwall,20,18,0,2,NA
Charlie Crew,Leeds United,1,0,0,0,359
Ante Crnac,Norwich City,38,29,7,4,NA
Matt Crooks,Hull City,18,9,3,0,NA
Josh Cullen,Burnley,44,43,2,3,205
Liam Cullen,Swansea City,42,35,11,3,NA
Jamie Cumming,Oxford United,45,45,0,0,NA
Luke Cundle,Millwall,16,13,1,0,NA
Jesper Daland,Cardiff City,20,16,0,0,NA
Owen Dale,Oxford United,11,4,0,0,NA
Harry Darling,Swansea City,39,38,5,3,NA
Karl Darlow,Leeds United,7,7,0,0,341
Jay Dasilva,Coventry City,31,20,0,1,NA
Adam Davies,Sheffield Utd,3,3,0,0,NA
Isaak Davies,Cardiff City,9,3,2,0,NA
Tom Davies,Sheffield Utd,13,6,1,1,NA
James Debayo,Leeds United,1,0,0,0,NA
Hannes Delcroix,Swansea City,12,10,0,0,188
Tom Dele-Bashiru,Watford,27,25,4,0,NA
Karamoko Dembélé,QPR,23,15,3,4,NA
Siriki Dembélé,Oxford United,25,15,2,1,NA
Rav van den Berg,Middlesbrough,27,23,0,0,NA
Emmanuel Dennis,Blackburn,6,1,0,1,NA
Terry Devlin,Portsmouth,34,13,0,1,NA
Ousmane Diakité,West Brom,22,9,0,0,NA
Grady Diangana,West Brom,34,14,4,3,NA
Robert Dickie,Bristol City,36,35,2,1,NA
Seny Dieng,Middlesbrough,17,17,0,0,NA
Anfernee Dijksteel,Middlesbrough,33,27,2,1,NA
Daryl Dike,West Brom,11,1,1,1,NA
Jaden Dixon,Stoke City,2,0,0,0,NA
