name,id_2025,GW,kickoff_time,goals_scored,assists,minutes,team,id_2026
Dwight McNeil,230,7,2024-10-05T16:30:00Z,0,0,90,Everton,300
Kim Ji-soo,96,7,2024-10-05T14:00:00Z,0,0,0,Brentford,117
Franco Umeh-Chibueze,644,7,2024-10-05T11:30:00Z,0,0,0,Crystal Palace,282
Andy Irving,576,7,2024-10-05T14:00:00Z,0,0,0,West Ham,621
Karl Hein,5,7,2024-10-05T14:00:00Z,0,0,0,Arsenal,3
Nathaniel Clyne,196,7,2024-10-05T11:30:00Z,0,0,73,Crystal Palace,263
Saša Lukić,249,7,2024-10-05T14:00:00Z,0,0,90,Fulham,332
Kevin De Bruyne,345,7,2024-10-05T14:00:00Z,0,0,0,Man City,NA
Norberto Murara Neto,73,7,2024-10-05T14:00:00Z,0,0,0,Arsenal,66
Tyrell Malacia,379,7,2024-10-06T13:00:00Z,0,0,0,Man Utd,448
Lucas Tolentino Coelho de Lima,527,7,2024-10-05T14:00:00Z,1,0,82,West Ham,612
Lewis Dunk,120,7,2024-10-06T15:30:00Z,0,0,90,Brighton,146
Mason Holgate,225,7,2024-10-05T16:30:00Z,0,0,0,Everton,NA
Kurt Zouma,532,7,2024-10-05T14:00:00Z,0,0,0,West Ham,NA
Sékou Mara,468,7,2024-10-05T14:00:00Z,0,0,0,Southampton,NA
Antony Matheus dos Santos,365,7,2024-10-06T13:00:00Z,0,0,26,Man Utd,454
Dara O'Shea,630,7,2024-10-05T14:00:00Z,0,0,90,Ipswich,NA
Kalvin Phillips,359,7,2024-10-05T14:00:00Z,0,0,73,Ipswich,429
Ibrahima Konaté,326,7,2024-10-05T11:30:00Z,0,0,90,Liverpool,374
Chadi Riad Dnanou,195,7,2024-10-05T11:30:00Z,0,0,0,Crystal Palace,262
Freddie Ladapo,276,7,2024-10-05T14:00:00Z,0,0,0,Ipswich,NA
Levi Colwill,162,7,2024-10-06T13:00:00Z,0,0,90,Chelsea,227
Nick Pope,413,7,2024-10-05T16:30:00Z,0,0,90,Newcastle,469
Jorge Luiz Frello Filho,7,7,2024-10-05T14:00:00Z,0,0,60,Arsenal,NA
Oliwier Zych,641,7,2024-10-06T13:00:00Z,0,0,0,Aston Villa,NA
Luke Woolfenden,284,7,2024-10-05T14:00:00Z,0,0,0,Ipswich,NA
Łukasz Fabiański,521,7,2024-10-05T14:00:00Z,0,0,0,West Ham,NA
Idrissa Gueye,222,7,2024-10-05T16:30:00Z,0,0,33,Everton,302
Joe Gomez,322,7,2024-10-05T11:30:00Z,0,0,0,Liverpool,376
Dominic Calvert-Lewin,220,7,2024-10-05T16:30:00Z,0,0,90,Everton,691
Yerson Mosquera,558,7,2024-10-05T14:00:00Z,0,0,0,Wolves,634
Sil Swinkels,640,7,2024-10-06T13:00:00Z,0,0,0,Aston Villa,NA
Konstantinos Tsimikas,337,7,2024-10-05T11:30:00Z,0,0,78,Liverpool,377
Christian Nørgaard,101,7,2024-10-05T14:00:00Z,1,0,76,Brentford,24
Emiliano Martínez Romero,47,7,2024-10-06T13:00:00Z,0,0,90,Aston Villa,32
Declan Rice,16,7,2024-10-05T14:00:00Z,0,0,90,Arsenal,21
Dejan Kulusevski,492,7,2024-10-06T15:30:00Z,0,0,90,Spurs,583
Pascal Groß,125,7,2024-10-06T15:30:00Z,0,0,0,Brighton,NA
Gabriel dos Santos Magalhães,3,7,2024-10-05T14:00:00Z,0,0,90,Arsenal,5
