name,id_2025,GW,kickoff_time,goals_scored,assists,minutes,team,id_2026
John Ruddy,414,6,2024-09-28T11:30:00Z,0,0,0,Newcastle,NA
Caleb Okoli,301,6,2024-09-28T14:00:00Z,0,0,90,Leicester,NA
Odysseas Vlachodimos,412,6,2024-09-28T11:30:00Z,0,0,0,Newcastle,472
George Earthy,519,6,2024-09-28T14:00:00Z,0,0,0,West Ham,620
Daichi Kamada,205,6,2024-09-28T14:00:00Z,0,0,61,Crystal Palace,271
Reece James,172,6,2024-09-28T14:00:00Z,0,0,0,Chelsea,225
Georginio Rutter,618,6,2024-09-28T14:00:00Z,1,0,70,Brighton,158
Conor Chaplin,265,6,2024-09-29T13:00:00Z,0,0,0,Ipswich,NA
Santiago Bueno,564,6,2024-09-28T16:30:00Z,0,0,76,Wolves,636
Corrie Ndaba,279,6,2024-09-29T13:00:00Z,0,0,0,Ipswich,NA
Kenny Tete,257,6,2024-09-28T14:00:00Z,0,0,90,Fulham,322
Pablo Sarabia,565,6,2024-09-28T16:30:00Z,0,0,0,Wolves,NA
Diogo Teixeira da Silva,317,6,2024-09-28T16:30:00Z,0,2,90,Liverpool,NA
Kortney Hause,40,6,2024-09-29T13:00:00Z,0,0,0,Aston Villa,NA
Liam Delap,268,6,2024-09-29T13:00:00Z,2,0,90,Ipswich,250
